link;price;date;address
/realestateandhomes-detail/5213-Westminster-Ave_Philadelphia_PA_19131_M34163-15335;150000.0;Jul 6, 2023;5213 Westminster Ave, Philadelphia, PA 19131
/realestateandhomes-detail/9226-Ditman-St_Philadelphia_PA_19114_M49286-62449;342225.0;Jul 6, 2023;9226 Ditman St, Philadelphia, PA 19114
/realestateandhomes-detail/8243-Winthrop-St_Philadelphia_PA_19136_M41819-90134;362500.0;Jul 6, 2023;8243 Winthrop St, Philadelphia, PA 19136
/realestateandhomes-detail/2219-Taggert-St_Philadelphia_PA_19125_M46470-83770;340000.0;Jul 6, 2023;2219 Taggert St, Philadelphia, PA 19125
/realestateandhomes-detail/8543-Ridgeway-St_Philadelphia_PA_19111_M44136-12488;330000.0;Jul 6, 2023;8543 Ridgeway St, Philadelphia, PA 19111
/realestateandhomes-detail/5454-Chestnut-St_Philadelphia_PA_19139_M42474-86510;445000.0;Jul 6, 2023;5454 Chestnut St, Philadelphia, PA 19139
/realestateandhomes-detail/167-Mifflin-St_Philadelphia_PA_19148_M38322-80385;337000.0;Jul 6, 2023;167 Mifflin St, Philadelphia, PA 19148
/realestateandhomes-detail/1316-W-Ritner-St_Philadelphia_PA_19148_M43029-25118;430000.0;Jul 6, 2023;1316 W Ritner St, Philadelphia, PA 19148
/realestateandhomes-detail/6735-Marsden-St_Philadelphia_PA_19135_M40555-98058;194000.0;Jul 6, 2023;6735 Marsden St, Philadelphia, PA 19135
/realestateandhomes-detail/645-E-Westmoreland-St_Philadelphia_PA_19134_M35370-49837;110000.0;Jul 6, 2023;645 E Westmoreland St, Philadelphia, PA 19134
/realestateandhomes-detail/220-W-Rittenhouse-Sq-Apt-5B_Philadelphia_PA_19103_M31565-72755;1240000.0;Jul 6, 2023;220 W Rittenhouse Sq Apt 5B, Philadelphia, PA 19103
/realestateandhomes-detail/2161-E-Dauphin-St_Philadelphia_PA_19125_M47267-21089;435000.0;Jul 6, 2023;2161 E Dauphin St, Philadelphia, PA 19125
/realestateandhomes-detail/2026-Saint-Albans-St_Philadelphia_PA_19146_M43008-08633;865000.0;Jul 6, 2023;2026 Saint Albans St, Philadelphia, PA 19146
/realestateandhomes-detail/9225-Milnor-St_Philadelphia_PA_19114_M49856-42075;360000.0;Jul 6, 2023;9225 Milnor St, Philadelphia, PA 19114
/realestateandhomes-detail/6525-Guyer-Ave_Philadelphia_PA_19142_M42882-56706;180000.0;Jul 6, 2023;6525 Guyer Ave, Philadelphia, PA 19142
/realestateandhomes-detail/1226-S-Sheridan-St_Philadelphia_PA_19147_M45697-62014;485000.0;Jul 6, 2023;1226 S Sheridan St, Philadelphia, PA 19147
/realestateandhomes-detail/304-Leverington-Ave_Philadelphia_PA_19128_M33074-59042;62500.0;Jul 6, 2023;304 Leverington Ave, Philadelphia, PA 19128
/realestateandhomes-detail/6252-Larchwood-Ave_Philadelphia_PA_19143_M49885-93942;153000.0;Jul 6, 2023;6252 Larchwood Ave, Philadelphia, PA 19143
/realestateandhomes-detail/1654-E-Berks-St_Philadelphia_PA_19125_M47307-31290;555000.0;Jul 6, 2023;1654 E Berks St, Philadelphia, PA 19125
/realestateandhomes-detail/300-Robbins-St_Philadelphia_PA_19111_M36561-48242;215000.0;Jul 6, 2023;300 Robbins St, Philadelphia, PA 19111
/realestateandhomes-detail/1912-E-Letterly-St-2_Philadelphia_PA_19125_M43294-78032;422500.0;Jul 6, 2023;1912 E Letterly St Unit 2, Philadelphia, PA 19125
/realestateandhomes-detail/130-S-18th-St-Unit-2004_Philadelphia_PA_19103_M49210-40906;4950000.0;Jul 6, 2023;130 S 18th St Unit 2004, Philadelphia, PA 19103
/realestateandhomes-detail/220-W-Rittenhouse-Sq-Apt-5A_Philadelphia_PA_19103_M30090-20625;1240000.0;Jul 6, 2023;220 W Rittenhouse /B Sq Unit 5A, Philadelphia, PA 19103
/realestateandhomes-detail/1010-Race-St-Apt-5A_Philadelphia_PA_19107_M37411-73074;134000.0;Jul 6, 2023;1010 Race St Apt 5A, Philadelphia, PA 19107
/realestateandhomes-detail/2204-W-Indiana-Ave_Philadelphia_PA_19132_M30677-38606;250000.0;Jul 6, 2023;2204 W Indiana Ave, Philadelphia, PA 19132
/realestateandhomes-detail/3923-Patrician-Dr_Philadelphia_PA_19154_M32652-39724;279000.0;Jul 6, 2023;3923 Patrician Dr, Philadelphia, PA 19154
/realestateandhomes-detail/1021-W-Hortter-St_Philadelphia_PA_19119_M34387-34697;1237600.0;Jul 6, 2023;1021 W Hortter St, Philadelphia, PA 19119
/realestateandhomes-detail/3516-N-Sydenham-St_Philadelphia_PA_19140_M32533-97532;120000.0;Jul 6, 2023;3516 N Sydenham St, Philadelphia, PA 19140
/realestateandhomes-detail/814-E-Madison-St_Philadelphia_PA_19134_M32511-64724;80000.0;Jul 6, 2023;814 E Madison St, Philadelphia, PA 19134
/realestateandhomes-detail/3243-Boudinot-St_Philadelphia_PA_19134_M39109-89205;53985.0;Jul 6, 2023;3243 Boudinot St, Philadelphia, PA 19134
/realestateandhomes-detail/6037-Spruce-St_Philadelphia_PA_19139_M49394-40164;92500.0;Jul 6, 2023;6037 Spruce St, Philadelphia, PA 19139
/realestateandhomes-detail/225-S-18th-St-Unit-229_Philadelphia_PA_19103_M39991-43700;292000.0;Jul 6, 2023;219 S 18th St # 1201, Philadelphia, PA 19103
/realestateandhomes-detail/4616-Ella-St_Philadelphia_PA_19120_M36480-53859;155000.0;Jul 6, 2023;4616 Ella St, Philadelphia, PA 19120
